property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
HARV-00450,"125 West Gray Street, Houston, TX, 77019",29.753132,-95.380196,0.0,0.0,1,1,0.0,0.0,2.593,1,0.0,0.0,0.0
HARV-00451,"5156 Richmond Avenue, Houston, TX, 77056",29.732781,-95.465826,0.0,0.0,1,1,0.0,0.0,2.113,1,0.0,0.0,0.0
HARV-00452,"5140 Richmond Avenue, Houston, TX, 77056",29.732802,-95.464957,0.0,0.0,1,1,0.0,0.0,2.436,1,0.0,0.0,0.0
HARV-00453,"701 West Alabama Street, Houston, TX, 77006",29.738387,-95.388299,0.0,0.0,1,1,0.1163,0.0,1.385,1,0.0,0.0,0.0
HARV-00454,"1919 Taylor Street, Houston, TX",29.775293,-95.383381,0.0,0.0,1,1,0.0601,0.0,32.095,1,0.0,0.0,0.0
HARV-00455,"2423 Katy Freeway, Houston, TX, 77007",29.776438,-95.382441,0.0,0.0,1,1,0.0,0.0,43.324,1,0.0,0.0,0.0
HARV-00456,"1923 Taylor Street, Houston, TX",29.775462,-95.382689,0.0,0.0,1,1,0.2327,0.0,32.557,1,0.0,0.0,0.0
HARV-00457,"11303 Craighead Drive, Houston",29.661405,-95.445551,0.0,0.0,1,1,0.0,0.0,1.39,1,0.0,0.0,0.0
HARV-00458,"11405 Craighead Drive, Houston",29.659647,-95.445406,0.0,0.0,1,1,0.0,0.0,3.265,1,0.0,0.0,0.0
HARV-00459,"11503 Craighead Drive, Houston",29.658828,-95.445307,0.0,0.0,1,1,0.0,0.0,3.923,1,0.0,0.0,0.0
HARV-00460,"1200 Binz Street, Houston, TX, 77004",29.723667,-95.387727,0.0,0.0,1,1,0.0,0.0,7.823,1,0.0,0.0,0.0
HARV-00461,"2400 Times Boulevard, Houston, TX, 77005",29.716929,-95.415138,0.0,0.0,1,1,0.0,0.0,1.589,1,0.0,0.0,0.0
HARV-00462,"7417 South Kirkwood Road, Houston, TX, 77072",29.697767,-95.587307,0.0,0.0,1,1,0.0,0.0,9.251,1,0.0,0.0,0.0
HARV-00463,"9821 Katy Freeway, Houston, TX, 77024",29.783501,-95.537377,0.0,0.0,1,1,0.0,0.0,3.657,1,0.0,0.0,0.0
HARV-00464,"398 Meyerland Plaza Mall, Houston, TX, 77096",29.686792,-95.460667,0.0,0.0,1,1,0.0,0.0,5.543,1,0.0,0.0,0.0
HARV-00465,"1047 South Voss Road, Houston, TX, 75057",29.752467,-95.499999,0.0,0.0,1,1,0.2922,0.0,5.572,1,0.0,0.0,0.0
HARV-00466,"5777 San Felipe Street, Houston, TX, 77057",29.749448,-95.478569,0.0,0.0,1,1,0.0,0.0,5.693,1,0.0,0.0,0.0
HARV-00467,"5779 San Felipe Street, Houston, TX, 77057",29.749445,-95.478698,0.0,0.0,1,1,0.0,0.0,5.681,1,0.0,0.0,0.0
HARV-00468,"11911 Katy Freeway, Houston, TX, 77079",29.783597,-95.595937,0.0,0.0,1,1,0.0,0.0,2.701,1,0.0,0.0,0.0
HARV-00469,"5160 Richmond Avenue, Houston, TX, 77056",29.732781,-95.46593,0.0,0.0,1,1,0.0,0.0,2.074,1,0.0,0.0,0.0
HARV-00470,"5134 Richmond Avenue, Houston, TX, 77056",29.732814,-95.46471,0.0,0.0,1,1,0.0,0.0,2.469,1,0.0,0.0,0.0
HARV-00471,"5130 Richmond Avenue, Houston, TX, 77056",29.732822,-95.464221,0.0,0.0,1,1,0.0,0.0,2.427,1,0.0,0.0,0.0
HARV-00472,"5152 Richmond Avenue, Houston, TX, 77056",29.732783,-95.465657,0.0,0.0,1,1,0.0,0.0,2.175,1,0.0,0.0,0.0
HARV-00473,"5910 West Loop South, Bellaire, TX, 77401",29.71711,-95.461234,0.0,0.0,1,1,0.0,0.0,1.908,1,0.0,0.0,0.0
HARV-00474,"5801 Memorial Drive, Houston, TX, 77007",29.760997,-95.420281,0.0,0.0,1,1,0.0,0.0,39.332,1,0.0,0.0,0.0
HARV-00475,5401 Memorial Drive,29.760997,-95.420524,0.0,0.0,1,1,0.0,0.0,39.474,1,0.0,0.0,0.0
HARV-00476,"10300 South Wilcrest Drive, Houston, TX, 77099",29.662022,-95.569072,0.0,0.0,1,1,0.0,0.0,2.662,1,0.0,0.0,0.0
